"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 07 13:25:09 CST 2020","Wed Oct 07 13:25:19 CST 2020","9377","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[pic_collaboration_needs-]",""
"passed","Thu Oct 22 16:58:54 CST 2020","Thu Oct 22 16:58:56 CST 2020","2066","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration6[2-５０日]",""
"passed","Thu Oct 22 16:53:43 CST 2020","Thu Oct 22 16:53:52 CST 2020","9496","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[recommend-お困り事]",""
"passed","Thu Oct 22 16:52:33 CST 2020","Thu Oct 22 16:52:44 CST 2020","11047","TestCases","test_1_loginCase","TestLogin","","","test_login[daido1-daido001-ログアウト]",""
"passed","Thu Oct 22 16:57:53 CST 2020","Thu Oct 22 16:58:06 CST 2020","12838","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration0",""
"passed","Wed Oct 07 13:14:06 CST 2020","Wed Oct 07 13:14:15 CST 2020","9648","TestCases","test_2_homePageCase","TestHomePage_picture","","","test_homepage",""
"passed","Thu Oct 22 16:57:23 CST 2020","Thu Oct 22 16:57:52 CST 2020","29272","TestCases","test_4_collaborationPageCase","TestcollaborationPage_flow","","","test_collaboration_flow",""
"passed","Thu Oct 22 16:58:08 CST 2020","Thu Oct 22 16:58:10 CST 2020","2074","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration1[1-卸売業]",""
"passed","Thu Oct 22 16:58:45 CST 2020","Thu Oct 22 16:58:48 CST 2020","2061","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration5[1-要]",""
"passed","Thu Oct 22 16:52:44 CST 2020","Thu Oct 22 16:52:55 CST 2020","11037","TestCases","test_1_loginCase","TestLogin","","","test_login[daido2-daido002-ログアウト]",""
"passed","Wed Oct 07 13:30:55 CST 2020","Wed Oct 07 13:31:04 CST 2020","9502","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[top-bridge]",""
"passed","Thu Oct 22 16:58:14 CST 2020","Thu Oct 22 16:58:16 CST 2020","2077","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration1[4-製造業]",""
"passed","Thu Oct 22 16:58:27 CST 2020","Thu Oct 22 16:58:29 CST 2020","2062","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration3[0-選択してください]",""
"passed","Thu Oct 22 16:58:29 CST 2020","Thu Oct 22 16:58:31 CST 2020","2066","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration3[1-５～１０年]",""
"passed","Thu Oct 22 16:58:52 CST 2020","Thu Oct 22 16:58:54 CST 2020","2068","TestCases","test_4_collaborationPageCase","TestCollaborationPage","","","test_collaboration6[1-３０日]",""
"passed","Thu Oct 22 16:55:52 CST 2020","Thu Oct 22 16:55:54 CST 2020","2066","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend3[0-5~10人未満]",""
"passed","Wed Oct 07 13:25:29 CST 2020","Wed Oct 07 13:25:38 CST 2020","9681","TestCases","test_2_homePageCase","TestHomePage","","","test_homepage[pic_collaboration_help-]",""
"passed","Thu Oct 22 16:56:05 CST 2020","Thu Oct 22 16:56:07 CST 2020","2059","TestCases","test_3_recommendPageCase","TestRecommendPage","","","test_recommend4[0-売上拡大・マーケティング]",""
"passed","Thu Oct 22 16:59:42 CST 2020","Thu Oct 22 16:59:45 CST 2020","2067","TestCases","test_4_collaborationPageCase","TestCollaborationPage_2","","","test_collaboration1[1-卸売業]",""
"passed","Wed Oct 21 15:45:50 CST 2020","Wed Oct 21 15:45:51 CST 2020","1380","TestCases","test_5_homePageCase","TestHomePage","","","test_myPage1[iamS-服务商中心]",""
